CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0026,0.9986
C0001,C0184,0.9967
C0001,C0127,0.9962
C0002,C0029,0.9999
C0002,C0088,0.998
C0002,C0129,0.9905
C0003,C0160,0.9987
C0003,C0086,0.997
C0003,C0038,0.997
C0004,C0175,0.9936
C0004,C0017,0.9923
C0004,C0075,0.9905
C0005,C0186,0.9983
C0005,C0192,0.9979
C0005,C0112,0.9976
C0006,C0117,0.9948
C0006,C0064,0.9823
C0006,C0187,0.9772
C0007,C0146,1.0
C0007,C0120,0.997
C0007,C0192,0.9929
C0008,C0136,0.9984
C0008,C0124,0.9982
C0008,C0113,0.9895
C0009,C0198,1.0
C0009,C0150,0.9986
C0009,C0083,0.9973
C0010,C0176,0.9895
C0010,C0029,0.9892
C0010,C0002,0.9886
C0011,C0139,0.9999
C0011,C0064,0.9852
C0011,C0024,0.9834
C0012,C0163,0.9946
C0012,C0182,0.9917
C0012,C0138,0.9881
C0013,C0145,0.9913
C0013,C0053,0.9913
C0013,C0093,0.9873
C0014,C0060,0.9994
C0014,C0097,0.9993
C0014,C0128,0.9978
C0015,C0063,0.9989
C0015,C0123,0.9986
C0015,C0078,0.9965
C0016,C0040,0.9997
C0016,C0183,0.9874
C0016,C0107,0.9852
C0017,C0169,0.9977
C0017,C0004,0.9923
C0017,C0018,0.9743
C0018,C0153,0.9957
C0018,C0122,0.9877
C0018,C0101,0.9826
C0019,C0142,0.9998
C0019,C0073,0.9924
C0019,C0027,0.9802
C0020,C0130,0.9986
C0020,C0095,0.9949
C0020,C0119,0.9891
C0021,C0155,0.9999
C0021,C0122,0.9954
C0021,C0046,0.9892
C0022,C0149,0.9981
C0022,C0200,0.9971
C0022,C0108,0.9965
C0023,C0171,0.9928
C0023,C0126,0.9715
C0023,C0168,0.9682
C0024,C0081,0.9988
C0024,C0194,0.9907
C0024,C0139,0.9842
C0025,C0159,0.9948
C0025,C0031,0.9885
C0025,C0172,0.984
C0026,C0001,0.9986
C0026,C0048,0.9966
C0026,C0154,0.9959
C0027,C0174,0.9868
C0027,C0116,0.9828
C0027,C0142,0.9827
C0028,C0045,0.994
C0028,C0068,0.9919
C0028,C0102,0.9908
C0029,C0002,0.9999
C0029,C0088,0.9968
C0029,C0062,0.9907
C0030,C0176,0.9954
C0030,C0106,0.9947
C0030,C0098,0.9837
C0031,C0172,0.999
C0031,C0076,0.9948
C0031,C0052,0.9936
C0032,C0043,0.9977
C0032,C0071,0.9921
C0032,C0015,0.9901
C0033,C0150,0.9979
C0033,C0058,0.9977
C0033,C0083,0.9957
C0034,C0134,0.9919
C0034,C0049,0.9823
C0034,C0098,0.9732
C0035,C0069,0.9972
C0035,C0120,0.997
C0035,C0146,0.9894
C0036,C0132,1.0
C0036,C0131,0.9951
C0036,C0071,0.9936
C0037,C0079,0.9883
C0037,C0179,0.9881
C0037,C0170,0.9845
C0038,C0086,0.9999
C0038,C0003,0.997
C0038,C0160,0.9953
C0039,C0084,0.9914
C0039,C0162,0.9858
C0039,C0105,0.9791
C0040,C0016,0.9997
C0040,C0183,0.987
C0040,C0107,0.9833
C0041,C0175,0.9928
C0041,C0087,0.9928
C0041,C0101,0.9921
C0042,C0061,0.9983
C0042,C0103,0.998
C0042,C0129,0.9795
C0043,C0071,0.9981
C0043,C0032,0.9977
C0043,C0063,0.994
C0044,C0074,0.9918
C0044,C0185,0.9756
C0044,C0085,0.9693
C0045,C0068,0.999
C0045,C0102,0.9946
C0045,C0028,0.994
C0046,C0173,0.9985
C0046,C0101,0.9966
C0046,C0155,0.9895
C0047,C0174,0.9861
C0047,C0147,0.9854
C0047,C0027,0.9761
C0048,C0026,0.9966
C0048,C0154,0.9959
C0048,C0001,0.9908
C0049,C0134,0.9939
C0049,C0111,0.9937
C0049,C0034,0.9823
C0050,C0115,0.9999
C0050,C0007,0.9926
C0050,C0146,0.9924
C0051,C0096,0.9975
C0051,C0114,0.9921
C0051,C0148,0.9895
C0052,C0172,0.9977
C0052,C0166,0.997
C0052,C0189,0.9966
C0053,C0093,0.998
C0053,C0145,0.9914
C0053,C0013,0.9913
C0054,C0188,0.9922
C0054,C0028,0.9887
C0054,C0102,0.9729
C0055,C0072,0.996
C0055,C0127,0.9916
C0055,C0001,0.991
C0056,C0106,0.9945
C0056,C0133,0.9936
C0056,C0107,0.9928
C0057,C0153,0.9935
C0057,C0090,0.9855
C0057,C0122,0.9838
C0058,C0150,0.9992
C0058,C0033,0.9977
C0058,C0009,0.9959
C0059,C0104,0.9975
C0059,C0163,0.9802
C0059,C0065,0.977
C0060,C0014,0.9994
C0060,C0097,0.999
C0060,C0151,0.9966
C0061,C0042,0.9983
C0061,C0103,0.996
C0061,C0062,0.9841
C0062,C0144,0.9977
C0062,C0029,0.9907
C0062,C0002,0.9903
C0063,C0015,0.9989
C0063,C0123,0.998
C0063,C0043,0.994
C0064,C0117,0.9861
C0064,C0011,0.9852
C0064,C0139,0.9824
C0065,C0059,0.977
C0065,C0104,0.976
C0065,C0163,0.9391
C0066,C0154,0.9878
C0066,C0115,0.9828
C0066,C0184,0.9823
C0067,C0149,0.9938
C0067,C0022,0.987
C0067,C0183,0.985
C0068,C0045,0.999
C0068,C0102,0.9978
C0068,C0028,0.9919
C0069,C0035,0.9972
C0069,C0127,0.9926
C0069,C0120,0.9923
C0070,C0174,0.9918
C0070,C0193,0.9851
C0070,C0191,0.9848
C0071,C0043,0.9981
C0071,C0132,0.9943
C0071,C0036,0.9936
C0072,C0190,0.9967
C0072,C0055,0.996
